6429. емисија
97. циклус
32. емисија
02 12. 2016.
www.youtube.com/watch?v=JnDfUXn4PRc
А1 - ПОДИЈУМ
А2 - ОРКЕСТАР
А3 - КОРАК
А4 - ЖИЦА
 А - ПЛЕС
Б1 - ИМЕ
Б2 - КАН
Б3 - КРОМВЕЛ
Б4 - ЏЕЈМИ
 Б - ОЛИВЕР
В1 - МОМЕНТ
В2 - ЧИГРА
В3 - ТУРНУС
В4 - ПЕРИПЕТИЈЕ
 В - ОБРТ
Г1 - ПАРТЕР
Г2 - ЈУТРО
Г3 - СТРУЊАЧА
Г4 - СПРАВА
 Г - ГИМНАСТИКА
??? - ТВИСТ

А1 - ПОД 
А2 - ЛУК
А3 - КАПЕТАН
А4 - СИРЕНА
 А - БРОД
Б1 - ПЕТАО
Б2 - ЕОЛ
Б3 - ЈУГО
Б4 - ПАСАТ
 Б - ВЕТАР
В1 - ТКИВО
В2 - ЗАТВОР
В3 - МАНАСТИР
В4 - САЋЕ
 В - ЋЕЛИЈА
Г1 - НАСЛЕЂЕНИ
Г2 - АБЕРАЦИЈА
Г3 - ИКС
Г4 - ИПСИЛОН
 Г - ХРОМОЗОМ
??? - ЈЕДРО
