6248. емисија
94. циклус
34. емисија
04. 04. 2016.
www.youtube.com/watch?v=0xUylwo-u2c

А1 - СИЈАЛИЦА
А2 - ТОПЛОМЕР
А3 - МЕТАЛ
А4 - ТЕЧНИ
 А - ЖИВА
Б1 - ЛУКА
Б2 - ЦРНА ГОРА
Б3 - БИФЕ
Б4 - КОД
 Б - БАР
В1 - ОМОТАЧ
В2 - ВАЗДУХ
В3 - РАСПОЛОЖЕЊЕ
В4 - ИНТИМНА
 В - АТМОСФЕРА
Г1 - НАУЧНИК
Г2 - ФРАНЦУСКА
Г3 - ТРОУГАО
Г4 - БЛЕЗ
 Г - ПАСКАЛ
??? - ПРИТИСАК

А1 - НЕДЕЉА
А2 - АЗОТ
А3 - САМУРАЈИ
А4 - ВЛАШИЋИ
 А - СЕДАМ
Б1 - МОРЕ
Б2 - ДАВИД
Б3 - СЈАЈ
Б4 - ЦРВЕНА
 Б - ЗВЕЗДА
В1 - СНЕГ
В2 - ОЧЊАК
В3 - МРС
В4 - МАНТИЛ
 В - БЕЛИ
Г1 - СТАКЛО
Г2 - БАЈА
Г3 - ГАРНИТУРА
Г4 - РАЈ
 Г - БАШТА
??? - ПАТУЉАК
