5875. емисија
88. циклус
27. емисија
14. 03. 2015.
www.youtube.com/watch?v=2X-RqhEDar4

А1 - КЊИГА
А2 - ПАПИР
А3 - ЧАСОПИС
А4 - ЗЕЛЕНИ
 А - ЛИСТ
Б1 - СОНЕТ
Б2 - ПЛАНИНА
Б3 - ПЕТРИЈА
Б4 - САВСКИ
 Б - ВЕНАЦ
В1 - КАПИЈА
В2 - ПОБЕДА
В3 - УСПЕХ
В4 - ПОТПУНИ
 В - ТРИЈУМФ
Г1 - КРЕВЕТ
Г2 - ВРЕЋА
Г3 - ТАБЛЕТА
Г4 - СНОВИ
 Г - СПАВАЊЕ
??? - ЛОВОР

А1 - КАФА
А2 - ЖИТО
А3 - МЛЕВЕЊЕ
А4 - ЖРВАЊ
 А - МЛИН
Б1 - ПЕТАО
Б2 - РУЖА
Б3 - ЈЕДРО
Б4 - ЕОП
 Б - ВЕТАР
В1 - КРАЉЕВИНА
В2 - РАВНИЦА
В3 - ЛАЛЕ
В4 - КЛОМПЕ
 В - ХОЛАНДИЈА
Г1 - ВИТЕЗ
Г2 - ДУЛСИНЕЈА
Г3 - ЛА МАНЧА
Г4 - СЕРВАНТЕС
 Г - ДОН КИХОТ
??? - ВЕТРЕЊАЧА
