6438. емисија
97. циклус
41. емисија
11. 12. 2016.
www.youtube.com/watch?v=FC3u8vKR9vE

А1 - ЛЕК
А2 - ТРЕНУТНО
А3 - ОДЛОЖЕНО
А4 - ПРОДУЖЕНО
 А - ДЕЈСТВО
Б1 - СТАБИЛНОСТ
Б2 - ИЗНЕНАЂЕЊЕ
Б3 - "PH"
Б4 - ЗАШТИТА
 Б - ФАКТОР
В1 - ПСИХОЛОГИЈА
В2 - ТИП
В3 - ЈАВНА
В4 - ИДЕНТИТЕТ
 В - ЛИЧНОСТ
Г1 - ЗЕМЉА
Г2 - ИНТЕРЕС
Г3 - ДЕЛОКРУГ
Г4 - ЛОПТА
 Г - СФЕРА
??? - УТИЦАЈ

А1 - СНАЖНА
А2 - СИЛНА
А3 - МОЋНА
А4 - КАФА
 А - ЈАКА
Б1 - УЛИЦА
Б2 - ИЗЛОЖБА
Б3 - БЕСНИ
Б4 - ХАЈКА
 Б - ПСИ 
В1 - ТОПЛО
В2 - ГЛАВНО
В3 - ГОТОВО
В4 - ПРИБОР
 В - ЈЕЛО
Г1 - БУРАГ
Г2 - КИСЕЛИНА
Г3 - ЧИР
Г4 - ГРЧЕВИ
 Г - ЖЕЛУДАЦ
??? - ХРАНА
