5627. емисија
84. циклус
23. емисија
25. 05. 2014.
www.youtube.com/watch?v=K462zRZH0UE

А1 - СНАГА
А2 - СИЛИКОН
А3 - ТОН
А4 - ЗЕМЉОТРЕС
 А - ЈАЧИНА
Б1 - ГУБЉЕЊЕ
Б2 - ИШЧЕЗНУЋЕ
Б3 - ДИНОСАУРУС
Б4 - ПРИЈАВИТИ
 Б - НЕСТАНАК
В1 - ЦЕВИ
В2 - РАЧУНАР
В3 - УГРАДЊА
В4 - ВОДОВОДНА
 В - ИНСТАЛАЦИЈА
Г1 - ЕКОНОМИЈА
Г2 - СТРАНКА
Г3 - ПЛАТФОРМА
Г4 - ПРОПАГАНДА
 Г - ПОЛИТИЧКА
??? - СТРУЈА

А1 - ЖЕНА
А2 - РУКА
А3 - КАТАРИНА
А4 - ИНА
 А - ДРУГА
Б1 - КРЕВЕТ
Б2 - ВАЗДУХ
Б3 - ГЛАВА
Б4 - НАВЛАКА
 Б - ЈАСТУК
В1 - ЦРНА
В2 - ЗАГАСИТА
В3 - МРАЧНА
В4 - ОДАЈА
 В - ТАМНА
Г1 - САТЕЛИТ
Г2 - ЧЕТВРТ
Г3 - КРАТЕР
Г4 - ЗЕМЉА
 Г - МЕСЕЦ
??? - СТРАНА
