6111. емисија
92. циклус
19. емисија
19. 11. 2015.
www.youtube.com/watch?v=kO5L_h-tXXs

А1 - ПРОХУЈАЛО С ВИХОРОМ
А2 - РЕТ
А3 - ЏЕРАРД
А4 - ПРЕЗИМЕ
 А - БАТЛЕР
Б1 - ПАС
Б2 - ПРИВРЖЕНИ
Б3 - ОДАНИ
Б4 - ЛОЈАЛНИ
 Б - ВЕРНИ
В1 - ТАРЗАН
В2 - ЏУНГЛА
В3 - ВЛАСНИК
В4 - ГАЗДА
 В - ГОСПОДАР
Г1 - МИР
Г2 - ЉУДИ
Г3 - ХРАМ
Г4 - ЗНАК
 Г - БОЖЈИ
??? - СЛУГА

А1 - КРАЉЕВИ
А2 - СМРТ
А3 - ЈОРГОВАН
А4 - СИЛИКОН
 А - ДОЛИНА
Б1 - УКРАС
Б2 - ФОТО-СИНТЕЗА
Б3 - ХЛОРОФИЛ
Б4 - СЕМЕ
 Б - БИЉКА
В1 - ПИРИНАЧ
В2 - ПАМУЧНА
В3 - ШАХОВСКА
В4 - МИНЕ
 В - ПОЉА
Г1 - СТЕПА
Г2 - СЕНО
Г3 - ЕНГЛЕСКА
Г4 - ВИМБЛДОН
 Г - ТРАВА
??? - ЗЕЛЕНА
