6170. емисија
93. циклус
17. емисија
17. 01. 2016.


А1 - РЕШЕТКА
А2 - ДОБА
А3 - КОПЧА
А4 - КАПИЈА
 А - МЕТАЛ
Б1 - ВОЛФРАМ
Б2 - ВАКУУМ
Б3 - ЕДИСОН
Б4 - ЖАРУЉА
 Б - СИЈАЛИЦА
В1 - КИЧМА
В2 - ОГРАДА
В3 - НОСАЧ
В4 - ФРИЗ
 В - СТУБ
Г1 - ИНСТРУМЕНТ
Г2 - МЕРЕЊЕ
Г3 - ТЕМПЕРАТУРА
Г4 - БОЈЛЕР
 Г - ТЕРМОМЕТАР
??? - ЖИВА

А1 - ЦИКЛУС
А2 - СОНАТА
А3 - ПОМРАЧЕЊЕ
А4 - КАЛЕНДАР
 А - МЕСЕЦ
Б1 - КОВАЧ
Б2 - НАКОВАЊ
Б3 - КЛАВИР
Б4 - ПНЕУМАТСКИ
 Б - ЧЕКИЋ
В1 - ЗЕЛЕНА
В2 - МОРСКА
В3 - ХОКЕЈ
В4 - ПАШЊАК
 В - ТРАВА
Г1 - ЖИТО
Г2 - ЛЕТО
Г3 - КОМБАЈН
Г4 - КОСА
 Г - ЖЕТВА
??? - СРП
