6676. емисија
101. циклус
35. емисија
06. 08. 2017.
www.youtube.com/watch?v=2Yot7OlBuRA

А1 - ПРЕДСТАВНИК
А2 - НАЈВИШИ
А3 - ИНОСТРАНИ
А4 - ИВО АНДРИЋ
 А - АМБАСАДОР
Б1 - ФИРМА
Б2 - КУХИЊА
Б3 - САЛА
Б4 - ГЛАВНИ
 Б - ШЕФ
В1 - МИРОВНА
В2 - КАЗНЕНА
В3 - УНУТРАШЊА
В4 - ЕКОНОМСКА
 В - ПОЛИТИКА
Г1 - ОРГАНИЗАЦИЈА
Г2 - САРАДЊА
Г3 - ЈАВНОСТ
Г4 - ИНТЕРНАЦИОНАЛНА
 Г - МЕЂУНАРОДНА
??? - ДИПЛОМАТИЈА

А1 - ЈАВНА
А2 - ПОЛЕМИКА
А3 - ДЕБАТА
А4 - ДИСКУСИЈА
 А - РАСПРАВА
Б1 - ГЛАВА
Б2 - ЧЛАН
Б3 - КУЋА
Б4 - ЛОЗА
 Б - ПОРОДИЦА
В1 - ЈАБУКА
В2 - СЕМЕ
В3 - МРЖЊА
В4 - ПОДЕЛА
 В - РАЗДОР
Г1 - БЕС
Г2 - ЗВУЧНИЦИ
Г3 - АЕРОДРОМ
Г4 - ДЕЦИБЕЛ
 Г - БУКА
??? - СВАЂА
