6701. емисија
101. циклус
60. емисија
31. 08. 2017.
www.youtube.com/watch?v=cwqgP6TnQN8

А1 - СЕЗОНА
А2 - ФАБРИКА
А3 - ТЕРЕН
А4 - МЕТАЛАЦ
 А - РАДНИК
Б1 - ПРЕСВЛАЧЕЊЕ
Б2 - КРПИЦЕ
Б3 - УНИФОРМА
Б4 - МОДА
 Б - ОДЕЋА
В1 - ОРКЕСТАР
В2 - САФИР
В3 - ВОЗ
В4 - КАМЕН
 В - ПЛАВИ
Г1 - ВЕШ
Г2 - ДОЊЕ
Г3 - МАШИНА
Г4 - ПРАЊЕ
 Г - РУБЉЕ
??? - КОМБИНЕЗОН

А1 - ФИЛМОВИ
А2 - КЊИГЕ
А3 - БАРОУЗ
А4 - ЏЕЈН
 А - ТАРЗАН
Б1 - ЖУТА
Б2 - КРАТКА
Б3 - РАВНА
Б4 - ТРАКА
 Б - КОСА
В1 - УМЕТНОСТ
В2 - ВРЕМЕНА
В3 - ТЕХНОЛОГИЈА
В4 - САВРЕМЕНА
 В - МОДЕРНА
Г1 - СТАЛНА
Г2 - КОНСТАНТНА
Г3 - НЕСВРШЕНА
Г4 - ПОСЛЕДИЦА
 Г - ТРАЈНА
??? - ФРИЗУРА
