6001. емисија
90. циклус
31. емисија
18. 07. 2015.
www.youtube.com/watch?v=e1CYo-ZE1nw

А1 - СИСТЕМ
А2 - МАТЕМАТИКА
А3 - АПСЦИСА
А4 - ПОЛАРНА
 А - КООРДИНАТА
Б1 - СТИНГ
Б2 - ЖАЛАЦ
Б3 - УБОД
Б4 - ОТРОВ
 Б - ЖАОКА
В1 - РЕАКЦИЈА
В2 - СВРАБ
В3 - КОПРИВА
В4 - ПОЛЕН
 В - АЛЕРГИЈА
Г1 - ЈЕСЕН
Г2 - БОЈА
Г3 - ШТАМПА
Г4 - МРЉА
 Г - ЖУТА
??? - ОСА

А1 - ПУШКА
А2 - ПОКЛОПАЦ
А3 - ЧЕП
А4 - ХЕРМЕТИЧКИ
 А - ЗАТВАРАЧ
Б1 - ФИЈАТ
Б2 - ВРАТА
Б3 - МЕХАНИЗАМ
Б4 - ЦИЛИНДАР
 Б - БРАВА
В1 - ЕУРЕКА!
В2 - ИЗУМ
В3 - ОТКРИЋЕ
В4 - НАУЧНИК
 В - ПРОНАЛАЗАК
Г1 - ТАБЛИЦА
Г2 - ОЗНАКА
Г3 - ВОЗИЛО
Г4 - ТЕХНИЧКИ ПРЕГЛЕД
 Г - РЕГИСТРАЦИЈА
??? - ПАТЕНТ
