6838. емисија
104. циклус
14. емисија
15. 01. 2018.
www.youtube.com/watch?v=pfsmLMbUUOA

А1 - ДРУШТВЕНА
А2 - ДРЖАВНА
А3 - ЛИЧНА
А4 - ПОКРЕТНА
 А - ИМОВИНА
Б1 - ЦИВИЛИЗАЦИЈА
Б2 - ПОНАШАЊЕ
Б3 - -УМЕТНИЧКО
Б4 - ДРУШТВО
 Б - КУЛТУРНО
В1 - ВИДОСАВ СТАНКОВИЋ
В2 - ОПОРУКА
В3 - АДВОКАТ
В4 - САСТАВИТИ
 В - ТЕСТАМЕНТ
Г1 - РИМ
Г2 - КРИВИЦА
Г3 - ЈАЧИ
Г4 - ПРИРОДА
 Г - ПРАВО
??? - НАСЛЕЂЕ

А1 - ЦИВИЛИ
А2 - МЕШТАНИ
А3 - ПОШТЕНИ
А4 - ЗБОР
 А - ГРАЂАНИ
Б1 - УН
Б2 - ОДБОР
Б3 - ИГРА
Б4 - РАД
 Б - ОРГАНИЗАЦИЈА
В1 - БИБЛИОТЕКА
В2 - СТРАНКА
В3 - ПОЈЕДИНАЦ
В4 - КАРТА
 В - ЧЛАН
Г1 - ПАТКА
Г2 - ТВ
Г3 - ЧЛАНАК
Г4 - ДОПИСНИК
 Г - НОВИНАР
??? - УДРУЖЕЊЕ
