5822. емисија
87. циклус
35. емисија
20. 01. 2015.
www.youtube.com/watch?v=amico05g7eI

А1 - ГУСЕНИЦЕ
А2 - ОКЛОП
А3 - БИТКА
А4 - ЦЕВ
 А - ТЕНК
Б1 - КАЛЕНДАР
Б2 - ПОП
Б3 - ПОРТА
Б4 - ОЛТАР
 Б - ЦРКВА
В1 - СКОК
В2 - СВИЛА
В3 - ДЕСАНТ
В4 - ЈЕДИНИЦА
 В - ПАДОБРАН
Г1 - ПЛАВЕТНИЛО
Г2 - ПРОСТРАНСТВО
Г3 - МЕХАНИКА
Г4 - УДИЦА
 Г - НЕБЕСКА
??? - КУПОЛА

А1 - ГОЛУБ
А2 - КОЧИЈА
А3 - ФАХ
А4 - ШАЛТЕР
 А - ПОШТА
Б1 - ГЛАВА
Б2 - СПАВАЊЕ
Б3 - ПЕРЈЕ
Б4 - ВАЗДУХ
 Б - ЈАСТУК
В1 - МУЗЕЈ
В2 - ФИГУРА
В3 - ПЧЕЛА
В4 - СВЕЋА
 В - ВОСАК
Г1 - ПУСТИЊА
Г2 - КВАСАЦ
Г3 - ДРЕНОВИНА
Г4 - БАРУТ
 Г - СУВИ
??? - ПЕЧАТ
