6192. емисија
93. циклус
39. емисија
08. 02. 2016.
www.youtube.com/watch?v=K7a26T4ZHFI

А1 - РИТАМ
А2 - СЕКЦИЈА
А3 - САКСОФОН
А4 - ДИКСИЛЕНД
 А - ЏЕЗ
Б1 - ОДБОР
Б2 - ПРИНУДНА
Б3 - РУКОВОДСТВО
Б4 - ПРИХОДИ
 Б - УПРАВА
В1 - БРУЦОШИ
В2 - АПСОЛВЕНТИ
В3 - ПОСТИДИПЛОМСКИ
В4 - РЕДОВНИ
 В - СТУДЕНТИ
Г1 - ЧУВАР
Г2 - ЛЕПТИР
Г3 - ЖИВОТ
Г4 - ПРОВОД
 Г - НОЋНИ
??? - КЛУБ

А1 - СВЕЧАНИ
А2 - НОВА ГОДИНА
А3 - ПРИЈЕМ
А4 - ОДБОР 
 А - ДОЧЕК
Б1 - ПРЕВОЗ
Б2 - СЛЕПИ
Б3 - НАМЕРНИЦИ
Б4 - СВЕТСКИ
 Б - ПУТНИЦИ
В1 - ХАРМОНИКА
В2 - ЗГЛОБ
В3 - СПРАТ
В4 - БУНКЕР
 В - АУТОБУС
Г1 - СКРАЋЕНИЦА
Г2 - ПРОГРАМ
Г3 - ЛИЦЕ
Г4 - СЕРИЈА
 Г - ТВ
??? - СТАНИЦА
