6820. емисија
103. циклус
57. емисија
28. 12. 2017.
www.youtube.com/watch?v=sG0n33s_Xww

А1 - КАРАВАН
А2 - ГОБИ
А3 - СЛАНА
А4 - ПЕСАК
 А - ПУСТИЊА
Б1 - СПОТОВИ
Б2 - ЕПП
Б3 - НЕОН
Б4 - БЛОК
 Б - РЕКЛАМЕ
В1 - ДАБАР
В2 - РЕКА
В3 - БЕДЕМ
В4 - ХИДРОЦЕНТРАЛА
 В - БРАНА
Г1 - ПОРОК
Г2 - ТЕЛО
Г3 - ГЕОМЕТРИЈА
Г4 - РУБИК
 Г - КОЦКА
??? - ЛАС ВЕГАС

А1 - МЛЕКО
А2 - АУТОМАТ
А3 - БРАЗИЛ
А4 - ИНСТАНТ
 А - КАФА
Б1 - ИНДИЈСКИ ОКЕАН
Б2 - АТЛАНТИК
Б3 - ЈУЖНА
Б4 - РОГ
 Б - АФРИКА
В1 - ПРОГОН
В2 - КАТАКОМБЕ
В3 - МИСИОНАРИ
В4 - ВЕРНИЦИ
 В - ХРИШЋАНИ
Г1 - ЖИВОТИЊЕ
Г2 - СНОВИ
Г3 - РИМ
Г4 - ДУШАН
 Г - ЦАРСТВО
??? - ЕТИОПИЈА
