6952. емисија
106. циклус
6. емисија
09. 05. 2018.
www.youtube.com/watch?v=sIEZPQpFhCs

А1 - РЕКА
А2 - ТОК
А3 - ПЧЕЛА
А4 - ЗАВРТАЊ
 А - МАТИЦА
Б1 - ЛИЦЕ
Б2 - ТЕРМИН
Б3 - УСТАЉЕНИ
Б4 - СТРУЧНИ
 Б - ИЗРАЗ
В1 - ПРВОТИМАЦ
В2 - ЈЕЗИК
В3 - ТИПИЧНИ
В4 - НОРМИРАНИ
 В - СТАНДАРДНИ
Г1 - УЛАЗ
Г2 - СВИРАЧИ
Г3 - ПРОДАВАЦ
Г4 - НЕРЕДИ
 Г - УЛИЧНИ
??? - РЕЧНИК

А1 - ЧУВАРИ
А2 - УСТАВ
А3 - ЧЛАН
А4 - КРИВИЦА
 А - ЗАКОН
Б1 - ПРИЛОГ
Б2 - ВРЕМЕ
Б3 - НАЧИН
Б4 - МЕСТО
 Б - ОДРЕДБА
В1 - ОПЕРА
В2 - БЕЛИНИ
В3 - УДАРНИК
В4 - ПРЕБАЦИВАЊЕ
 В - НОРМА
Г1 - ИНТЕРНЕТ
Г2 - ПУТЕВИ
Г3 - КОЛАПС
Г4 - ЖЕЛЕЗНИЦА
 Г - САОБРАЋАЈ
??? - ПРОПИС
