6707. емисија
10. циклус
5. емисија
06. 09. 2017.
www.youtube.com/watch?v=icjIWSfpDDk

А1 - ДОБОШ
А2 - РАСПРОДАЈА
А3 - НАСЛЕДСТВО
А4 - ЛИЧНА
 А - ИМОВИНА
Б1 - ЗГРАДА
Б2 - ИНСТИТУЦИЈА
Б3 - ВАСПИТНА
Б4 - КУЛТУРА
 Б - УСТАНОВА
В1 - КАСА
В2 - ПОЗОРИШТЕ
В3 - НОВАЦ
В4 - ЗАПИС
 В - БЛАГАЈНА
Г1 - АПАРАТ
Г2 - ЧИНОВНИЦИ
Г3 - ФОРМУЛАРИ
Г4 - ПАПИРОЛОГИЈА
 Г - АДМИНИСТРАЦИЈА
??? - ДРЖАВ(Н)А

А1 - КОХЕЗИЈА
А2 - АДХЕЗИЈА
А3 - СВЕТСКА
А4 - ГРАВИТАЦИЈА
 А - СИЛА
Б1 - СПЕЦИФИЧНА
Б2 - ВЕЛИЧИНА
Б3 - ТЕЛО
Б4 - МЕРА
 Б - ТЕЖИНА
В1 - КОНТРАКТНИ
В2 - ГЛАТКИ
В3 - ПРУГАСТИ
В4 - ГРЧЕВИ
 В - МИШИЋИ
Г1 - КРАЈЊА
Г2 - ГРАНИЧНА
Г3 - ТЕМПЕРАТУРА
Г4 - ТАЧКА
 Г - КРИТИЧНА
??? - МАСА
