6259. емисија
94. циклус
45. емисија
15. 04. 2016.
www.youtube.com/watch?v=LqIGuudNvqs

А1 - МИКЕЛАНЂЕЛО
А2 - ДА ВИНЧИ
А3 - ПРЕПОРОД
А4 - ХУМАНИЗАМ
 А - РЕНЕСАНСА
Б1 - ТОЧАК
Б2 - АТЛАС
Б3 - БОЛЕСТ
Б4 - УЧИТЕЉИЦА
 Б - ИСТОРИЈА
В1 - ПРОНАЛАЗАК
В2 - АМЕРИКА
В3 - ПАТЕНТ
В4 - НАУЧНО
 В - ОТКРИЋЕ
Г1 - КАМЕН
Г2 - БРОНЗА
Г3 - ГОДИНА
Г4 - ГЛУВО
 Г - ДОБА
??? - ЕПОХА

А1 - УЛАЗНИЦЕ
А2 - РЕМИ
А3 - БЛАГАЈНА
А4 - ДЕЉЕЊЕ
 А - КАРТЕ
Б1 - ТЕСТИРАЊЕ
Б2 - БОД
Б3 - КАЗНЕНИ
Б4 - ИГРИЦА
 Б - ПОЕН
В1 - ВОЖЊА
В2 - БАЛОН
В3 - ПОКУШАЈ
В4 - ТЕСТ
 В - ПРОБА
Г1 - ШУМАХЕР
Г2 - ЛАУДРУП
Г3 - БАЛАК
Г4 - ТАРНАТ
 Г - МИХАЕЛ
??? - ШТИХ
