6003. емисија
90. циклус
33. емисија
20. 07. 2015.
www.youtube.com/watch?v=NYOp6c-RSpI

А1 - ЛОРЕЛАЈ
А2 - АУСТРИЈА
А3 - СЕВЕРНО МОРЕ
А4 - ЗЛАТО
 А - РАЈНА
Б1 - ФРАНКФУРТ
Б2 - ОФЕНБАХ
Б3 - РЕКА
Б4 - НЕМАЧКА
 Б - МАЈНА
В1 - ШВАРЦВАЛД
В2 - КАЗАН
В3 - ЦРНО МОРЕ 
В4 - БЕЧ
 В - ДУНАВ
Г1 - ...БРЗИНЕ
Г2 - СЛИЧИЦЕ
Г3 - ЗАМЕНА
Г4 - КОШУЉИЦА
 Г - МЕЊАЊЕ
??? - КАНАЛ

А1 - ДОМАЋИ
А2 - ШЉИВЕ
А3 - КАЈСИЈЕ
А4 - ПАЛАЧИНКЕ
 А - ПЕКМЕЗ
Б1 - ВОЋЕ
Б2 - КУВАЊЕ
Б3 - ВОДА
Б4 - ШЕЋЕР
 Б - КОМПОТ
В1 - ВУНА
В2 - ПЕРЛА
В3 - ОГЛЕДАЛО
В4 - ДУВАЊЕ
 В - СТАКЛО
Г1 - КОСА
Г2 - ОЛОВКА
Г3 - СЛАВИНА
Г4 - БРИСАЊЕ
 Г - ГУМИЦА
??? - ТЕГЛА
