6459. емисија
98. циклус
1. емисија
01. 01. 2017.
www.youtube.com/watch?v=wVvqkiUbrL0

А1 - ПЛАМЕН
А2 - КРУГОВИ
А3 - КУБЕРТЕН
А4 - МЕДАЉЕ
 А - ОЛИМПИЈАДА
Б1 - АРАНЖМАН
Б2 - ВОДИЧ
Б3 - ПАРАДАЈЗ
Б4 - АГЕНЦИЈА
 Б - ТУРИЗАМ
В1 - КРАЉЕВИНА
В2 - КОРИДА
В3 - МУШИЦА
В4 - ГРАЂАНСКИ РАТ
 В - ШПАНИЈА
Г1 - СТЕПЕНИЦЕ
Г2 - ОДЕСА
Г3 - ОКЛОПЊАЧА
Г4 - ГРИГОРИЈ
 Г - ПОТЕМКИН
??? - СЕЛО

А1 - УМЕТНОСТ
А2 - ПАЛЕТА
А3 - НАИВНО
А4 - ПЕЋИНСКО
 А - СЛИКАРСТВО
Б1 - МАТЕМАТИКА
Б2 - ПРОСТОР
Б3 - ЕУКЛИД
Б4 - НАЦРТНА
 Б - ГЕОМЕТРИЈА
В1 - СКОК
В2 - БАТАК
В3 - ГАТАЛИНКА
В4 - БАРА
 В - ЖАБА
Г1 - ГОЛУБ
Г2 - ИБИС
Г3 - РАЈ
Г4 - ЛЕТ
 Г - ПТИЦА
??? - ПЕРСПЕКТИВА
