5990. емисија
90. циклус
20. емисија
07. 07. 2015.
www.youtube.com/watch?v=kfFBuS-Cm_0

А1 - ТЕЛЕСНА
А2 - КИЛОГРАМ
А3 - УБРЗАЊЕ
А4 - ВАЗДУШНА
 А - МАСА
Б1 - ТУЖАН
Б2 - СРЕЋАБ
Б3 - 31. ДЕЦЕМБАР
Б4 - Ш
 Б - КРАЈ
В1 - ТОРАЊ
В2 - АНТЕНА
В3 - КАБЛ
В4 - КАНАЛ
 В - ТЕЛЕВИЗИЈА
Г1 - СЕРЕНАДА
Г2 - КРИЛО
Г3 - ЛЕПТИР
Г4 - ЗГРАДА
 Г - ПРОЗОР
??? - СВЕТ

А1 - МИЛИБАР
А2 - ПРИТИСАК
А3 - СТАДИОН
А4 - СЛОЈ
 А - АТМОСФЕРА
Б1 - ПЛАНЕТА
Б2 - СУНЦЕ
Б3 - ТРЕЋИ
Б4 - КАМЕН
 Б - ЗЕМЉА
В1 - РЕКА
В2 - ХРВАТСКА
В3 - ВУЛКАН
В4 - КОНУС
 В - КУПА
Г1 - МИКРОСКОП
Г2 - МОЗАК
Г3 - УРЕЂАЈ
Г4 - МЕДИЈ
 Г - ЕЛЕКТРОНСКИ
??? - ОМОТАЧ
