6091. емисија
91. циклус
60. емисија
30. 10. 2015.
www.youtube.com/watch?v=8i112PxGrXQ

А1 - ДОБРА
А2 - СЛОБОДНА
А3 - БОЖЈА
А4 - ХТЕЊЕ
 А - ВОЉА
Б1 - РАСУЂИВАЊЕ
Б2 - НАВИКА
Б3 - ВОЈНА
Б4 - КУПОВИНА
 Б - МОЋ
В1 - ХАЈДЕГЕР
В2 - ЗЕНОН
В3 - КОНФУЧИЈЕ
В4 - ХЈУМ
 В - ФИЛОЗОФ
Г1 - ДРЖАВА
Г2 - БИЗМАРК
Г3 - БЕРЛИН
Г4 - РАЈНА
 Г - НЕМАЧКА
??? - ФРИДРИХ НИЧЕ

А1 - ОРГАН
А2 - СОК
А3 - ВАРЕЊЕ
А4 - ЧИР
 А - ЖЕЛУДАЦ
Б1 - ОЛОВО
Б2 - ЋЕЛИЈЕ
Б3 - ПАЉЕЊЕ
Б4 - КЛЕМЕ
 Б - АКУМУЛАТОР
В1 - САЛАТА
В2 - КАРАФИНДЛ
В3 - АЛКОХОЛ
В4 - ВИНО
 В - СИРЋЕ
Г1 - СЛАНИНА
Г2 - ЛАЖ
Г3 - ФАРБА
Г4 - ФОТА
 Г - МАСНА
??? - КИСЕЛИНА
