6119. емисија
92. циклус
27. емисија
27. 11. 2015.
www.youtube.com/watch?v=XZUltmdooXo

А1 - СКИЈЕ
А2 - ФАБРИКА
А3 - СЛОВЕНИЈА
А4 - ПОЛЕТ
 А - ЕЛАН
Б1 - ЕФЕКАТ
Б2 - ДЕЈСТВО
Б3 - БИЛАНС
Б4 - РЕЗУЛТАТ
 Б - УЧИНАК
В1 - СИСАРИ
В2 - СРЕЋНИ
В3 - ЧОВЕЧАНСТВО
В4 - МУДРИ
 В - ЉУДИ
Г1 - ВАТРА
Г2 - ЖИЦА
Г3 - ШАТОРИ
Г4 - ВОЈНИ
 Г - ЛОГОР
??? - РАДНИ

А1 - ДРВО
А2 - МЕТАЛ
А3 - ЗУПЦИ
А4 - МОТОР
 А - ТЕСТЕРА
Б1 - ЗАУСТАВЉАЊЕ
Б2 - ПЛОЧИЦЕ
Б3 - ДИСК
Б4 - ПЕДАЛА
 Б - КОЧНИЦА
В1 - ЗАВОД
В2 - НОВЧАНИЦЕ
В3 - ПРАВЉЕЊЕ
В4 - ПАСОШ
 В - ИЗРАДА
Г1 - ПОШТАР
Г2 - СПОРТ
Г3 - ПУТ
Г4 - ЂАК
 Г - ТОРБА
??? - РУЧНА
