6124. емисија
92. циклус
32. емисија
02. 12. 2015.
www.youtube.com/watch?v=sGWdIlXZMZ8

А1 - КРУНА
А2 - ПОЉЕ
А3 - ТУЧАК
А4 - ИКЕБАНА
 А - ЦВЕТ
Б1 - МАТИЦА
Б2 - ВОСАК
Б3 - РАДИЛИЦА
Б4 - МЕД
 Б - ПЧЕЛА
В1 - ЕНЕРГЕТСКИ
В2 - ЧАРОБНИ
В3 - ЉУБАВНИ
В4 - ГАЗИРАНИ
 В - НАПИТАК
Г1 - ПЛАНИНА
Г2 - ГРЧКА
Г3 - ВАТРА
Г4 - БОГОВИ
 Г - ОЛИМП
??? - НЕКТАР

А1 - ХИРУРГ
А2 - РАЧУН
А3 - ОВЕРЛОРД
А4 - САБЉА
 А - ОПЕРАЦИЈА
Б1 - СЛУЖБЕНИК
Б2 - СТРАНКЕ
Б3 - КАПАК
Б4 - РАЧУНИ
 Б - ШАЛТЕР
В1 - МАСКЕ
В2 - ВОДА
В3 - ВАМПИРИ
В4 - ХАЉИНА
 В - БАЛ
Г1 - КАРТА
Г2 - СЕМЕНКЕ
Г3 - МРАК
Г4 - ПЛАТНО
 Г - БИОСКОП
??? - САЛА
