6520. емисија
99. циклус
1. емисија
03. 03. 2017.
www.youtube.com/watch?v=vqPZAHaePs0

А1 - ПУСЛОЈИЋ
А2 - МИЦКИЈЕВИЧ
А3 - МАЛИШ
А4 - ПРВИ ЧОВЕК
 А - АДАМ
Б1 - ЛЕОПАРД
Б2 - КЛУПКО
Б3 - РЕП
Б4 - ДИВЉА
 Б - МАЧКА
В1 - НАСТАВА
В2 - ОБУКА
В3 - УПОТРЕБА
В4 - ВРЕДНОСТ
 В - ПРАКТИЧНА
Г1 - ЉУБА
Г2 - КОПИЈА
Г3 - ОДАНА
Г4 - ЛОЈАЛНА
 Г - ВЕРНА
??? - ЖЕНА

А1 - ЗИДНЕ
А2 - ОРМАН
А3 - КУХИЊА
А4 - КЊИГЕ
 А - ПОЛИЦЕ
Б1 - ПАПИР
Б2 - НАЈЛОН
Б3 - КУМ
Б4 - НОВАЦ
 Б - КЕСА
В1 - БРЕГ
В2 - КРИСТАЛ
В3 - КОКТЕЛ
В4 - ШИЉАК
 В - ЛЕД
Г1 - ТЕШКА
Г2 - ЗДРАВА
Г3 - БРЗА
Г4 - КИНЕСКА
 Г - ХРАНА
??? - ЗАМРЗИВАЧ
