7140. емисија
109. циклус
11. емисија
14. 11. 2018.
www.youtube.com/watch?v=QkUanQde_mQ

А1 - ХАМБУРГЕР
А2 - ОСТРВА
А3 - ТОСТ
А4 - ТОПЛИ
 А - СЕНДВИЧ
Б1 - ОЛИМПИЈСКИ
Б2 - ЕКСТРЕМНИ
Б3 - ПРОГНОЗА
Б4 - ТУРНИР
 Б - СПОРТ
В1 - АУТОБУС
В2 - СТОЧИЋ
В3 - ЧУВАР
В4 - РАД
 В - НОЋНИ
Г1 - РОД
Г2 - КОНКУРС
Г3 - ЈЕЗИК
Г4 - КРИТИЧАР
 Г - КЊИЖЕВНИ
??? - КЛУБ

А1 - ИНСТРУМЕНТ
А2 - ПИКОЛО
А3 - ЏЕТРО ТАЛ
А4 - ПОПРЕЧНА
 А - ФЛАУТА
Б1 - ВЕЛИКИ
Б2 - КРАЉ
Б3 - КОЛАРОВ
Б4 - БЕРЧЕК
 Б - АЛЕКСАНДАР
В1 - РАДНА
В2 - КВАДРАТИЋИ
В3 - ЛИНИЈЕ
В4 - НОТНА
 В - СВЕСКА
Г1 - ОПШТИНА
Г2 - УШЋЕ
Г3 - ПАВИЉОНИ
Г4 - ФОНТАНА
 Г - НОВИ БЕОГРАД
??? - БЛОК
