6568. емисија
99. циклус
49. емисија
20. 04. 2017.
www.youtube.com/watch?v=-DVzYFczeKY

А1 - ФИГУРА
А2 - ШАХ
А3 - СНЕЖНА
А4 - НАТАЛИЈА
 А - КРАЉИЦА
Б1 - ГАРДА
Б2 - ЂЕРДАП
Б3 - ТИТИКАКА
Б4 - БАЈКАЛ
 Б - ЈЕЗЕРО
В1 - СЛАП
В2 - НИЈАГАРА
В3 - БУК
В4 - АНЂЕОСКИ
 В - ВОДОПАД
Г1 - ТРИЈУМФ
Г2 - ЛОВОР
Г3 - ПОСТОЉЕ
Г4 - ПИРОВА
 Г - ПОБЕДА
??? - ВИКТОРИЈА

А1 - КОКО
А2 - ПТИЦА
А3 - ДЛАКА
А4 - КОЛУМБО
 А - ЈАЈЕ
Б1 - КАФКА
Б2 - ХЕМИЈСКИ
Б3 - СУДСКИ
Б4 - АДИЈАБАТСКИ
 Б - ПРОЦЕС
В1 - ЗАНАТ
В2 - ПИСМО
В3 - ЕСНАФ
В4 - РАДИОНИЦА
 В - МАЈСТОРИ
Г1 - ВОКАЛИ
Г2 - КЛАПА
Г3 - ОПЕРСКИ
Г4 - СОЛО
 Г - ПЕВАЧИ
??? - НИРНБЕРГ
