7391. емисија
116. циклус
19. емисија
23. 07. 2019.
www.youtube.com/watch?v=In_gfh4zfig


А1 - ОЗНАКА
А2 - ИНДУСТРИЈА
А3 - ВЕЗА
А4 - ПРИВЛАЧНОСТ
 А - ХЕМИЈА
Б1 - КУЋА
Б2 - ФАБРИКА
Б3 - ДЕДА МРАЗ
Б4 - КАМИН
 Б - ДИМЊАК
В1 - ЈЕДИНКА
В2 - ТЕЛО
В3 - МИКРО
В4 - МИСТЕРИЈЕ
 В - ОРГАНИЗАМ
Г1 - СИРАК
Г2 - ЂУБРЕ
Г3 - ВЕШТИЦА
Г4 - ДРШКА
 Г - МЕТЛА
??? - ЧИШЋЕЊЕ

А1 - КУЋА 
А2 - ПУШКА
А3 - РУПА
А4 - СЛОН
 А - МИШ
Б1 - ПРЕДНОСТ
Б2 - МРЕЖА
Б3 - ЛАКАТ
Б4 - ТУРНИР
 Б - ТЕНИС
В1 - ПРАВАЦ
В2 - ГРУПА
В3 - СТРУЈА
В4 - ДИНАР
 В - МУЗИКА
Г1 - ЗАВЕСА
Г2 - ТУШ
Г3 - КУПКА
Г4 - ЗЕЛЕНА
 Г - КАДА
??? - ПОДЛОГА
