6747. емисија
102. циклус
45. емисија
16. 10. 2017.
www.youtube.com/watch?v=rohXH8E_x2E

А1 - ПОЗИВ
А2 - СТРУКА
А3 - ЗАНИМАЊЕ
А4 - УНОСНА
 А - ПРОФЕСИЈА
Б1 - ВРАБАЦ
Б2 - ГНЕЗДО
Б3 - ПЕВАЧИЦА
Б4 - ПАПАГАЈ
 Б - ПТИЦА
В1 - ВЛАСТ
В2 - ПРАВНА
В3 - СУВЕРЕНА
В4 - НЕЗАВИСНА
 В - ДРЖАВА
Г1 - БИЛАНС
Г2 - ПАРТНЕР
Г3 - ПЛАН
Г4 - ПРОИЗВОДНИ
 Г - ПОСЛОВНИ
??? - СЕКРЕТАР

А1 - РУКАВИ
А2 - ФИЛМ
А3 - РЕЗОВИ
А4 - ТАЛАСИ
 А - КРАТКИ
Б1 - ДУГОВИ
Б2 - СТИЛ
Б3 - ЛЕЂА
Б4 - ПРСА
 Б - ПЛИВАЊЕ
В1 - ПЛАНИЦА
В2 - КУЛМ
В3 - СКИЈЕ
В4 - ТУРНЕЈА
 В - СКАКОНИЦА
Г1 - УСЛУГА
Г2 - СОБА
Г3 - ПАНСИОН
Г4 - ЛИФТ-БОЈ
 Г - ХОТЕЛ
??? - БАЗЕН
