6600. емисија
100. циклус
20. емисија
22. 05. 2017.
www.youtube.com/watch?v=wSiaILBX5rc

А1 - ДРВЕЋЕ
А2 - ПРОПЛАНАК
А3 - ШЕРВУД
А4 - КИШНА
 А - ШУМА
Б1 - КЉУН
Б2 - КАВЕЗ
Б3 - КРИЛА
Б4 - ПЕВАЧИЦА
 Б - ПТИЦА
В1 - ТАМА
В2 - ЗВЕЗДЕ
В3 - СТРАЖА
В4 - БОГОЈАВЉЕЊЕ
 В - НОЋ
Г1 - КАМЕН
Г2 - НАРОДНА
Г3 - ЖИВОТНА
Г4 - СОФИЈА
 Г - МУДРОСТ
??? - СОВА

А1 - КОРИЦЕ
А2 - ЛИСТ
А3 - МОЉАЦ
А4 - ПОВЕЗ
 А - КЊИГА
Б1 - КУТИЈА
Б2 - ЈАЈА
Б3 - ЖУТИ
Б4 - ЦРВЕНИ
 Б - КАРТОН
В1 - РЕКТОР
В2 - СТУДИЈЕ
В3 - СОРБОНА
В4 - КЕМБРИЏ
 В - УНИВЕРЗИТЕТ
Г1 - ЛУКА
Г2 - СВЕТИОНИК
Г3 - ЕГИПАТ
Г4 - ПТОЛОМЕЈ
 Г - АЛЕКСАНДРИЈСКА
??? - БИБЛИОТЕКА
