7076. емисија
108. циклус
8. емисија
11. 09. 2018.
www.youtube.com/watch?v=MWlS2KxhGHs

А1 - АДА
А2 - УНА
А3 - ФОЛИРАНТИ
А4 - ПИСАЦ
 А - МОМО КАПОР
Б1 - ЗУБИ
Б2 - ДЕМИНУТИВ
Б3 - МОЛЕР
Б4 - КИСТ
 Б - ЧЕТКИЦА
В1 - ТОП
В2 - СУПЕР
В3 - КАЛУП
В4 - РЕВИЈА
 В - МОДЕЛ
Г1 - БИЉАНА
Г2 - БЕЛО
Г3 - БИОСКОП
Г4 - ТКАЊЕ
 Г - ПЛАТНО
??? - СЛИКАР

А1 - ОБИЧАЈ
А2 - РИМ
А3 - ЈАЧИ
А4 - ВЛАДАВИНА
 А - ПРАВО
Б1 - ШКОЛА
Б2 - ВАСПИТАЊЕ
Б3 - СТЕПЕН
Б4 - ПЕРМАНЕНТНО
 Б - ОБРАЗОВАЊЕ
В1 - РАТНИ ЗЛОЧИН
В2 - СПЕЦИЈАЛНО
В3 - ОПТУЖНИЦЕ
В4 - ЈАВНО
 В - ТУЖИЛАШТВО
Г1 - КВИЗ
Г2 - НАУКА
Г3 - СТИЦАЊЕ
Г4 - ПРОВЕРА
 Г - ЗНАЊЕ
??? - ОСНОВНО
