6565. емисија
99. циклус
46. емисија
17. 04. 2017.
www.youtube.com/watch?v=-VGcrQYQ72E

А1 - МИНЕРАЛ
А2 - ФИГУРА
А3 - КОРИТО
А4 - ФУГОВАЊЕ
 А - ГИПС
Б1 - ПАЊ
Б2 - РЕФОРМА
Б3 - ДОБОШ
Б4 - СВЕЋИЦЕ
 Б - ТОРТА
В1 - КАШИКА
В2 - ЛАК
В3 - ШТИКЛА
В4 - ПЕПЕЉУГА
 В - ЦИПЕЛА
Г1 - МАТЕМАТИКА
Г2 - ЧЛАН
Г3 - ИНВЕРЗНА
Г4 - ТРАНСПОНОВАНА
 Г - МАТРИЦА
??? - КАЛУП

А1 - ПАТИКЕ
А2 - ЧИЗМЕ
А3 - ПАПУЧЕ
А4 - САНДАЛЕ
 А - ОБУЋА
Б1 - ЧАШИЦА
Б2 - ВИЉУШКА
Б3 - ОШТРИ
Б4 - ВИЛИЦА
 Б - ЗУБИ
В1 - МАКАРОНИ
В2 - РАВИОЛИ
В3 - РЕЗАНЦИ
В4 - ШПАГЕТЕ
 В - ТЕСТЕНИНА
Г1 - ЏАК
Г2 - ГРАДИЛИШТЕ
Г3 - ПОРТЛАНД
Г4 - АЛУМИНАТНИ
 Г - ЦЕМЕНТ
??? - ПАСТА
