7264. емисија
112. циклус
12. емисија
18. 03. 2019.
www.youtube.com/watch?v=_fyM9WfXAI4

А1 - ЧАЈ
А2 - ХУМОР
А3 - БОМБАРДЕР
А4 - ЛУК
 А - ЦРНИ
Б1 - ГАРДА
Б2 - МИЧИГЕН
Б3 - ВИКТОРИЈА
Б4 - СРЕБРО
 Б - ЈЕЗЕРО
В1 - ТРКА
В2 - ПЕШАДИЈА
В3 - ГОЛГОТА
В4 - УЗВИШЕЊЕ
 В - БРДО
Г1 - ЕП
Г2 - НУМЕРА
Г3 - ХИТ
Г4 - СЛАВУЈ
 Г - ПЕСМА
??? - ЛАБУД

А1 - СЕОБА
А2 - БАНКА
А3 - БЕРОВАЊЕ
А4 - ПОСЛОВИЦА
 А - НАРОД
Б1 - ВИДЕО
Б2 - ПЕРФОРМАНС
Б3 - САВРЕМЕНА
Б4 - НАИВНА
 Б - УМЕТНОСТ
В1 - ЈЕСЕН-ЗИМА
В2 - ПРОЛЕЋЕ-ЛЕТО
В3 - СЛИЧИЦЕ
В4 - НОВЧАНИЦЕ
 В - КОЛЕКЦИЈА
Г1 - БАЛИ
Г2 - КОС
Г3 - АДА
Г4 - БЛАГО
 Г - ОСТРВО
??? - МУЗЕЈ
