6673. емисија
101. циклус
32. емисија
03. 08. 2017.
www.youtube.com/watch?v=SJmypj_svHk

А1 - МАЛИ
А2 - ПЕЧЕНИЦА
А3 - СЛАМА
А4 - ПОСЛАНИЦА
 А - БОЖИЋ
Б1 - БОЈЕ
Б2 - ПЛАТНО
Б3 - ЗАМЕНА
Б4 - СУСАМ
 Б - УЉЕ
В1 - ЦРЕВО
В2 - КАНТА
В3 - ЂЕРАМ
В4 - ЧАША
 В - ВОДА
Г1 - ПОРОДИЦА
Г2 - ПРАЗНИК
Г3 - ПРОЛАЗНА
Г4 - ПОБЕДНИК
 Г - СЛАВА
??? - ПОСТ

А1 - НОВЧИЋ
А2 - СИТНА
А3 - ДИНАР
А4 - ДЕО
 А - ПАРА
Б1 - КОПАЊЕ
Б2 - ДНО
Б3 - МЕТАК
Б4 - МИШ
 Б - РУПА
В1 - ОПРУГА
В2 - СТЕПЕНИЦЕ
В3 - БАКТЕРИЈЕ
В4 - ИЗУВИЈАНА
 В - СПИРАЛА
Г1 - РАДИОНИЦА
Г2 - КУТИЈА
Г3 - ЕЛЕКТРИЧНИ
Г4 - ЗАНАТЛИЈА
 Г - АЛАТ
??? - БУРГИЈА
