5771. емисија
86. циклус
45. емисија
30. 11. 2014.
www.youtube.com/watch?v=H_cDHtwQzYY

А1 - КОЧИЗ
А2 - ЏЕРОНИМО
А3 - ХИЈАВАТА
А4 - ВИНЕТУ
 А - ИНДИЈАНАЦ
Б1 - ЗАЛИВ
Б2 - ИНДИЈА 
Б3 - ТИГАР
Б4 - КАЛКУТА
 Б - БЕНГАЛ
В1 - ПРОФИЛ
В2 - ОЛИМПИЈАДА
В3 - ОСТРВА
В4 - АТИНА
 В - ГРЧКА
Г1 - БОГ
Г2 - СТЕНА
Г3 - КАВКАЗ
Г4 - ОКОВАНИ
 Г - ПРОМЕТЕЈ
??? - ВАТРА

А1 - ЈАТО
А2 - МЕРКУР
А3 - ЋУТАЊЕ
А4 - ВОДА
 А - РИБА
Б1 - ЈЕДИНИЦА
Б2 - СТРУЈА
Б3 - КЛЕШТА
Б4 - А 
 Б - АМПЕР
В1 - ЛУКА
В2 - ФРАНЦУСКА
В3 - САПУН
В4 - ХИМНА
 В - МАРСЕЈ
Г1 - ПЛОЧА
Г2 - ПИСМО
Г3 - КАИШ
Г4 - ВРБОВ
 Г - КЛИН
??? - ЧОРБА
