6024. емисија
90. циклус
54. емисија
10. 08. 2015.
www.youtube.com/watch?v=h7wlHvcNxCw

А1 - ГРЕНЛАНД
А2 - КУБА
А3 - СИЦИЛИЈА
А4 - МАДАГАСКАР
 А - ОСТРВА
Б1 - ЊИВА
Б2 - ОРАЊЕ
Б3 - ЧЕЛО
Б4 - ПРВА
 Б - ЗВЕЗДА
В1 - ОДМЕТНИК
В2 - СТРЕЛАЦ
В3 - ШЕРВУД
В4 - ШУМА
 В - РОБИН ХУД
Г1 - РЕПУБЛИКА
Г2 - ПЕТАО
Г3 - КОЊАК
Г4 - НАПОЛЕОН
 Г - ФРАНЦУСКА
??? - МАРИЈАНА

А1 - КРУНА
А2 - ПРЕСТО
А3 - СКИПТАР
А4 - ВЛАДАР
 А - КРАЉ
Б1 - БЛЕСАН
Б2 - БУДАЛА
Б3 - ГЛУПАН
Б4 - НАСТА
 Б - ЛУДА
В1 - ШАХ
В2 - ФИГУРА
В3 - ЧЕЛИЧНА
В4 - КАМЕЛИЈЕ
 В - ДАМА
Г1 - РЕКА
Г2 - РЕГАТА
Г3 - БИХАЋ
Г4 - САНА
 Г - УНА
??? - ДВОР
