6621. емисија
100. циклус
41. емисија
12. 06. 2017.
www.youtube.com/watch?v=JApYV0ZgHCs

А1 - ПОП
А2 - РОК
А3 - ЏЕЗ
А4 - ХОР
 А - МУЗИКА
Б1 - СМЕСА
Б2 - ЈАСТУК
Б3 - ПУШКА
Б4 - СТРУЈА
 Б - ВАЗДУХ
В1 - КЕЦ
В2 - СПЕЦИЈАЛНА
В3 - МЕРНА
В4 - ВОЈНА
 В - ЈЕДИНИЦА
Г1 - КРВ
Г2 - БАРОМЕТАР
Г3 - ЖИВА
Г4 - СТУБ
 Г - ПРИТИСАК
??? - АТМОСФЕРА

А1 - ОГАЊ
А2 - КРУГОВИ
А3 - ВРУЋИНА
А4 - НА ТОЧКОВИМА
 А - ПАКАО
Б1 - МАУЗОЛЕЈ
Б2 - ПЛАНИНА
Б3 - БЕОГРАД
Б4 - ЧАРАПИЋ
 Б - АВАЛА
В1 - ГРАД
В2 - МЕСОПОТАМИЈА
В3 - ВРТОВИ
В4 - ЈЕЗИЦИ
 В - ВАВИЛОН
Г1 - ТОСКАНА
Г2 - ГАЛИЛЕЈ
Г3 - КАТЕДРАЛА
Г4 - АРНО
 Г - ПИЗА
??? - ТОРАЊ
