6785. емисија
103. циклус
22. емисија
23. 11. 2017.
www.youtube.com/watch?v=z2UTW4_89aw

А1 - ЗАМЕНИЦА
А2 - КАРТА
А3 - НА УВИД
А4 - ДЕМОНСТРАТИВНА
 А - ПОКАЗНА
Б1 - ГЛАС
Б2 - МИТИНГ
Б3 - УВОДНИ
Б4 - МИКРОФОН
 Б - ГОВОР
В1 - СПОРТ
В2 - НАПОРАН
В3 - ПРИПРЕМЕ
В4 - ТЕРЕТАНА
 В - ТРЕНИНГ
Г1 - ПРЕДСТАВЉАЊЕ
Г2 - ГАРАНЦИЈА
Г3 - ОПОМЕНА
Г4 - НИЈЕ УСМЕНА
 Г - ПИСМЕНА
??? - ВЕЖБА

А1 - ТЕСТИРАЊЕ
А2 - БОД
А3 - КАЗНЕНИ
А4 - ИГРИЦА
 А - ПОЕН
Б1 - ЦЕНЕ
Б2 - ВИС
Б3 - ПАДОБРАН
Б4 - БУВА
 Б - СКОК
В1 - ГРАЂЕВИНА
В2 - ОТПАД
В3 - НОГА
В4 - УДАРАЦ
 В - ШУТ
Г1 - ПРЕКРШАЈ
Г2 - ВЕЋЕ
Г3 - ИСТРАГА
Г4 - ЧЕКИЋ
 Г - СУДИЈА
??? - КОШАРКА
