6790. емисија
103. циклус
27. емисија
28. 11. 2017.
www.youtube.com/watch?v=GIe21NGDKYA

А1 - ЗЕНИЦЕ
А2 - ВЕШ
А3 - ПРОПАГАНДА
А4 - ЕКСПАНЗИЈА
 А - ШИРЕЊЕ
Б1 - УПАЛА
Б2 - ИСТОРИЈА
Б3 - МОРЕ
Б4 - СИМПТОМ
 Б - БОЛЕСТ
В1 - СУЗЕ
В2 - ЗДРАВ
В3 - КИКОТ
В4 - ГРОХОТ
 В - СМЕХ
Г1 - СЕМЕНА
Г2 - ЗАМЕЦИ
Г3 - ПШЕНИЧНЕ
Г4 - ЛИСТИЋИ
 Г - КЛИЦЕ
??? - ЗАРАЗА

А1 - ПРАВИЛА
А2 - ПОШТА
А3 - ВЕЗЕ
А4 - БЕЗБЕДНОСТ
 А - САОБРАЋАЈ
Б1 - ТАШТИНА
Б2 - ШАТРЕ
Б3 - ШАБАЦ
Б4 - СЕОСКИ
 Б - ВАШАР
В1 - БУЉУК
В2 - ХРПА
В3 - МНОШТВО
В4 - ХИПНОТИСАНА
 В - ГОМИЛА
Г1 - ПРОСТОР
Г2 - КАЗНЕНИ
Г3 - ФУДБАЛ
Г4 - ИВИЦА
 Г - ШЕСНАЕСТЕРАЦ
??? - ГУЖВА
