6977. емисија
106. циклус
31. емисија
03. 06. 2018.
www.youtube.com/watch?v=f6Im5mLwTwA

А1 - ЕВРОПА
А2 - АЗИЈА
А3 - УРАЛ
А4 - САМОВАР
 А - РУСИЈА
Б1 - ТИТО
Б2 - РАСПАД
Б3 - ЂЕРДАП
Б4 - ЈАДРАН
 Б - ЈУГОСЛАВИЈА
В1 - ЕНТЕРИЈЕР
В2 - ФЕНГ ШУИ
В3 - ПРОСТОРНО
В4 - ДЕКОРАЦИЈА
 В - УРЕЂЕЊЕ
Г1 - ЛИДЕР
Г2 - ОПОЗИЦИЈА
Г3 - ФРАКЦИЈА
Г4 - ПАРТИЈА
 Г - СТРАНКА
??? - РЕПУБЛИКА

А1 - АЛПИ
А2 - КОКОС
А3 - МАЈКА
А4 - БЕБА
 А - МЛЕКО
Б1 - ВРУЋА
Б2 - ТЕСТО
Б3 - КОМПЛЕТ
Б4 - ПЉЕСКАВИЦА
 Б - ЛЕПИЊА
В1 - ТУРИЗАМ
В2 - ПЛАНИНА
В3 - СИРОГОЈНО
В4 - МАЧКАТ
 В - ЗЛАТИБОР
Г1 - СВЛАЧИТИ
Г2 - ...ШМИНКУ
Г3 - ...МАГИЈУ
Г4 - ...СА РИНГЛЕ
 Г - СКИДАТИ
??? - КАЈМАК
