6105. емисија
92. циклус
13. емисија
13. 11. 2015.
www.youtube.com/watch?v=BHSe63vbGy8

А1 - ПРИЈАТЕЉ
А2 - СОЛИДАРНОСТ
А3 - ПОЗИВ
А4 - НЕВОЉА
 А - ПОМОЋ
Б1 - ЛАЖНИ
Б2 - КРИЗА
Б3 - ЕТИКА
Б4 - НОРМА
 Б - МОРАЛ
В1 - СТАДИОН
В2 - РЕДОВИ
В3 - СЕДИШТА
В4 - ХУК
 В - ТРИБИНЕ
Г1 - АТЛЕТИКА
Г2 - АВИО
Г3 - ПРОТЕСТ
Г4 - СКУП
 Г - МИТИНГ
??? - ПОДРШКА

А1 - КУГЛА
А2 - СВЕТЛО
А3 - КРИСТАЛ
А4 - ПЛАФОН
 А - ЛУСТЕР
Б1 - ЗНОЈ
Б2 - ТЕМПЕРАТУРА
Б3 - СНИЖАВАЊЕ
Б4 - ЛЕПЕЗА
 Б - ХЛАЂЕЊЕ
В1 - ОСА
В2 - ЗЕМЉА
В3 - СУНЦЕ
В4 - ТОЧАК
 В - ОКРЕТАЊЕ
Г1 - РАМЕНА
Г2 - КОСТ
Г3 - КАНТИЦА
Г4 - ПЕСАК
 Г - ЛОПАТИЦА
??? - ВЕНТИЛАТОР
