5988. емисија
90. циклус
18. емисија
05. 07. 2015.
www.youtube.com/watch?v=P4sNEfYPF3I

А1 - ГОЛИ
А2 - СЛАДАК
А3 - ЗДРАВ
А4 - НОЋНИ
 А - ЖИВОТ
Б1 - ЧОВЕК
Б2 - МАЈМУН
Б3 - СТВАРАЊЕ
Б4 - БЕРЗА
 Б - РАД
В1 - ТЕОРИЈА
В2 - АДВОКАТ
В3 - СТРУЧНА
В4 - ОПШТА
 В - ПРАКСА
Г1 - ИМУЋНО
Г2 - ИЗОБИЛНО
Г3 - РАСКОШНО
Г4 - НАЛАЗИШТЕ
 Г - БОГАТО
??? - ИСКУСТВО

А1 - СИЛА
А2 - ДЕЛОВАЊЕ
А3 - БЛАГОТВОРНО
А4 - ЛЕКОВИТО
 А - ДЕЈСТВО
Б1 - УТАКМИЦА
Б2 - СЕМАФОР
Б3 - ИСХОД
Б4 - ТАЧАН
 Б - РЕЗУЛТАТ
В1 - СЦЕНСКИ
В2 - СВЕТЛОСНИ
В3 - ЗВУЧНИ
В4 - СПЕЦИЈАЛНИ
 В - ЕФЕКАТ
Г1 - КОЛЕКТИВ
Г2 - ДАН
Г3 - ОДНОС
Г4 - ВЕК
 Г - РАДНИ
??? - УЧИНАК
