6412. емисија
97. циклус
15. емисија
15. 11. 2016.
www.youtube.com/watch?v=kVSeMkFFNjM

А1 - ГАС
А2 - ПЛЕМЕНИТ
А3 - Ne
А4 - РЕКЛАМЕ
 А - НЕОН
Б1 - ТОПОВИ
Б2 - ВОЛТА
Б3 - ИГРАЧКА
Б4 - ДАЉИНСКИ
 Б - БАТЕРИЈА
В1 - БРЗИНА
В2 - МУЊА
В3 - ОПТИКА
В4 - ГОДИНА
 В - СВЕТЛОСТ
Г1 - ТЕЛЕВИЗОР
Г2 - МОНИТОР
Г3 - СВЕТЛЕЋА ДИОДА
Г4 - СКРАЋЕНИЦА
 Г - ЛЕД
??? - ЛАМПА

А1 - JUS
А2 - ISO
А3 - ЖИВОТНИ
А4 - ЛИЈЕЖ
 А - СТАНДАРД
Б1 - ЗЕЛЕНА
Б2 - ТРОПСКА
Б3 - УКРАС
Б4 - СОБА
 Б - БИЉКА
В1 - ПОБОЉШАЊЕ
В2 - ПОСТЕПЕНИ
В3 - КРУШЕВАЦ
В4 - ПРОГРЕС
 В - НАПРЕДАК
Г1 - МАЛИ
Г2 - ПРИТИСАК
Г3 - УДАРАЦ
Г4 - ВОДОСТАЈ
 Г - НИЗАК
??? - РАСТ
