6480. емисија
98. циклус
22. емисија
22. 01. 2017.
www.youtube.com/watch?v=IOE4rOIg50Y

А1 - ИГРЕ
А2 - КОЊИЧКЕ
А3 - ЕРГЕЛЕ
А4 - ПОЖАРЕВАЦ
 А - ЉУБИЧЕВО
Б1 - ВЕК
Б2 - СВАТ
Б3 - ЕГИПАТ
Б4 - СЛОВЕНИ
 Б - СТАРИ
В1 - НАУЧНИК
В2 - ИДВОР
В3 - КАЛЕМИ
В4 - ИНСТИТУТ
 В - МИХАЈЛО ПУПИН
Г1 - ПЕШАК
Г2 - ПРЕСТУП
Г3 - РОК
Г4 - ГРАНИЦА
 Г - ПРЕЛАЗ
??? - МОСТ

А1 - ПОДИЋИ
А2 - СПОРТСКИ
А3 - ПЕХАР
А4 - МЕДАЉА
 А - ТРОФЕЈ
Б1 - РАЗДВАЈАЊЕ
Б2 - ДЕОБА
Б3 - РАВНЕ ЧАСТИ
Б4 - КЛАСЕ
 Б - ПОДЕЛА
В1 - ПОКЛИЧ
В2 - РАСПОРЕД
В3 - ЗЛОЧИН
В4 - ДРУГ
 В - РАТНИ
Г1 - РОД
Г2 - РЕПЕРТОАР
Г3 - ИМУЋАН
Г4 - "ТЕЖАК"
 Г - БОГАТ
??? - ПЛЕН
