6690. емисија
101. циклус
49. емисија
20. 08. 2017.
www.youtube.com/watch?v=jguJcBqp6UQ

А1 - ГРАД
А2 - НАЦИОНАЛНИ
А3 - ДРЕС
А4 - ХЕРАЛДИКА
 А - ГРБ
Б1 - ШЕФ
Б2 - ТЕРИТОРИЈА
Б3 - БУЏЕТ
Б4 - ПОСАО
 Б - ДРЖАВА
В1 - ВОДЕНИ
В2 - ВАТРЕНИ
В3 - ЗАШТИТНИ
В4 - БОЖЈИ
 В - ЗНАК
Г1 - КОМПЛЕКС
Г2 - ПЛОЧА
Г3 - СЕЋАЊЕ НА 
Г4 - ...РУВАРЦА
 Г - СПОМЕН
??? - ОБЕЛЕЖЈЕ

А1 - ТЕЛЕФОН
А2 - МОЖДАНИ
А3 - НЕРВНИ
А4 - ПОДСТИЦАЈ
 А - ИМПУЛС
Б1 - МАГИЧНА
Б2 - ВЛАСТ
Б3 - СНАГА
Б4 - ...ПРИРОДЕ
 Б - МОЋ
В1 - СИРОВИНЕ
В2 - ПОТЧИЊЕНА
В3 - РАДНА
В4 - СЛИКАРСКА
 В - КОЛОНИЈА
Г1 - ПЉАЧКА
Г2 - ПОБУНА
Г3 - ПРАТЊА
Г4 - БОРБА
 Г - ОРУЖАНА
??? - СИЛА
