6364. емисија
96. циклус
28. емисија
28. 09. 2016.
www.youtube.com/watch?v=pwmj6kE86yQ

А1 - ШКОЛА
А2 - ПЕЈЗАЖ
А3 - КРОС
А4 - МРТВА
 А - ПРИРОДА
Б1 - ПЕСМЕ
Б2 - ПРИЧЕ
Б3 - НОВЧИЋИ
Б4 - ХЕРБАРИЈУМ
 Б - ЗБИРКА
В1 - АКАДЕМИЈА
В2 - ПРИМЕНА
В3 - СТИЛ
В4 - ЕПОХА
 В - УМЕТНОСТ
Г1 - ТУРНИР
Г2 - КОМПЛЕКС
Г3 - ЦЕНТАР
Г4 - У СПОМЕН
 Г - МЕМОРИЈАЛНИ
??? - МУЗЕЈ

А1 - МАЈИЦА
А2 - КОЊИ
А3 - СПОРТ
А4 - ГОЛФ
 А - ПОЛО
Б1 - БАЦАЧКИ
Б2 - ПОЗОРИШНИ
Б3 - СПРАВА
Б4 - МОТКА
 Б - РЕКВИЗИТ
В1 - ГРАЂЕВИНА
В2 - ОТПАД
В3 - РОГАТИ
В4 - СКОК
 В - ШУТ
Г1 - ХОРДА
Г2 - КОКА
Г3 - СРЕДИНА
Г4 - ПОЛУГА
 Г - ЗЛАТНА
??? - ЛОПТА
