6224. емисија
94. циклус
10. емисија
11. 03. 2016.
www.youtube.com/watch?v=QNH7c6Rk98w

А1 - ЗАДЊА
А2 - НАРОД
А3 - УЛАЗ
А4 - СОБА
 А - ВРАТА
Б1 - СВЕТСКИ
Б2 - ТОРБА
Б3 - АГЕНЦИЈА
Б4 - РАДОМИР
 Б - ПУТНИК
В1 - ПРОИЗВОДЊА
В2 - ЗАШТИТА
В3 - СУНЧАЊЕ
В4 - КОЗМЕТИКА
 В - СРЕДСТВО
Г1 - МОРЕ
Г2 - РЕКА
Г3 - ДНО
Г4 - ЖИВОТИЊА
 Г - ШКОЉКА
??? - АУТОМОБИЛ

А1 - ВРЕДНОСТ
А2 - СТАРА
А3 - НОВИНЕ
А4 - ТАБАК
 А - ХАРТИЈА
Б1 - ТОПЛИ
Б2 - БРОДСКИ
Б3 - ПЛОЧИЦЕ
Б4 - ПРОСТИРКА
 Б - ПОД
В1 - ПТИЦА
В2 - УШУШКАНО
В3 - СТРЕХА
В4 - КУКАВИЦА
 В - ГНЕЗДО
Г1 - ПОРЕКЛО
Г2 - ВИНО
Г3 - ОСЕЋАЊЕ
Г4 - ВЕЛИКОДУШНО
 Г - ПЛЕМЕНИТО
??? - ДРВО
