6819. емисија
103. циклус
56. емисија
27. 12. 2017.
www.youtube.com/watch?v=1BFzPseiknE

А1 - ТАЛАС
А2 - СТРУЈА
А3 - СО
А4 - ПЕНА
 А - МОРЕ
Б1 - КОЊ
Б2 - КРИЛА
Б3 - БЕЛЕРОФОНТ
Б4 - САЗВЕЖЂЕ
 Б - ПЕГАЗ
В1 - АЛБАНИЈА
В2 - УФИЦИ
В3 - АЛХАМБРА
В4 - МАТИЊОН
 В - ПАЛАТА
Г1 - ОРУЖЈЕ
Г2 - ГЛАДИЈАТОР
Г3 - ЂАВО
Г4 - ТРИ ВРХА
 Г - ТРОЗУБАЦ
??? - ПОСЕЈДОН

А1 - ОБЛАЦИ
А2 - ЗВЕЗДЕ
А3 - СВОД
А4 - ПЛАВЕТНИЛО
 А - НЕБО
Б1 - УДАР
Б2 - ПЕРУН
Б3 - ТОР
Б4 - КОПРИВЕ
 Б - ГРОМ
В1 - ТАЛАСИ
В2 - СПЕКТАР
В3 - ФОТОНИ
В4 - ГОДИНА
 В - СВЕТЛОСТ
Г1 - ОГРАНИЧЕЊЕ
Г2 - МЕЊАЧ
Г3 - МАХ
Г4 - ЧВОР
 Г - БРЗИНА
??? -МУЊА
