6350. емисија
96. циклус
14. емисија
14. 09. 2016.
www.youtube.com/watch?v=Kb5bBxYIBkw

А1 - ...ПРИЛОГА
А2 - ...СРЕДСТАВА
А3 - СТИЦАЊЕ
А4 - ГОМИЛАЊЕ
 А - ПРИКУПЉАЊЕ
Б1 - НОВАЦ
Б2 - ВИШАК
Б3 - УПОТРЕБНА
Б4 - ХАРТИЈЕ
 Б - ВРЕДНОСТ
В1 - НАМЕТ
В2 - ОБАВЕЗА
В3 - ТАКСА
В4 - ЦАРИНА
 В - ДАЖБИНА
Г1 - СУНЦЕ
Г2 - ИНФОРМАТИЧКИ
Г3 - ЕЛЕМЕНТИ
Г4 - ЕКО-
 Г - СИСТЕМ
??? - ПОРЕЗ

А1 - СПОРТ
А2 - МУЗИКА
А3 - ЧУЊЕВИ
А4 - ТРАКА
 А - РИТМИЧКА
Б1 - ЗЕМЉА
Б2 - МОДЕЛ
Б3 - ГЕОГРАФСКИ
Б4 - ЗЛАТНИ
 Б - ГЛОБУС
В1 - ПЕСАК
В2 - ШЉУНАК
В3 - ХОТЕЛ
В4 - НУДИСТИ
 В - ПЛАЖА
Г1 - ДВОСТРУКА
Г2 - ГРЕШКА
Г3 - ДОЗА
Г4 - ДЕСЕТКА
 Г - ДУПЛА
??? - ЛОПТА
