6617. емисија
100. циклус
37. емисија
08. 06. 2017.
www.youtube.com/watch?v=Dxiwbf_tweo

А1 - ТВРЂАВА
А2 - МИНИСТАР
А3 - НАПАД
А4 - ЗАШТИТА
 А - ОДБРАНА
Б1 - САБЉА
Б2 - УНИФОРМА
Б3 - ЧИН
Б4 - БАЛ
 Б - ОФИЦИР
В1 - ХРАБРОСТ
В2 - ЛЕНТА
В3 - ОДЛИКОВАЊЕ
В4 - РАД
 В - ОРДЕН
Г1 - МЕДИЦИНА
Г2 - РОД
Г3 - СТРИЦ
Г4 - УЈАК
 Г - СЕСТРА
??? - ЧАСТ

А1 - РАЧУН
А2 - ТЕРМИНАЛ
А3 - ШАЛТЕР
А4 - ШВАЈЦАРСКА
 А - БАНКА
Б1 - ФОТЕЉА
Б2 - ПОЛОЖАЈ
Б3 - СПОРТСКИ
Б4 - ПОЛИТИЧКИ
 Б - ФУНКЦИОНЕР
В1 - БИЛДЕР
В2 - ГЛУМАЦ
В3 - АУСТРИЈА
В4 - ТЕРМИНАТОР
 В - АРНОЛД ШВАРЦЕНЕЈГЕР
Г1 - ОБЕЛЕЖЈА
Г2 - ПОЛИС
Г3 - УРЕЂЕЊЕ
Г4 - САВЕЗ
 Г - ДРЖАВА
??? - ГУВЕРНЕР
