6521. емисија
99. циклус
2. емисија
04. 03. 2017.
www.youtube.com/watch?v=OANMH2s_Wkk

А1 - ЛОЗА
А2 - ВИНОГРАД
А3 - ЗЛАТНА
А4 - ОГРАДА
 А - ЖИЦА
Б1 - МЕХУР
Б2 - ЋЕЛИЈА
Б3 - ЉУСКА
Б4 - МЕМБРАНА
 Б - ОПНА
В1 - СЕДА
В2 - КОСА
В3 - ДЛАКА
В4 - НИТ
 В - ВЛАС
Г1 - МРШАВА
Г2 - ИЗНЕМОГЛА
Г3 - НЕЈАКА
Г4 - ОЦЕНА
 Г - СЛАБА
??? - ТАНКА

А1 - ДОГАЂАЈ
А2 - МИСТЕРИЈА
А3 - ИГРА
А4 - ЗАМРШЕН
 А - СЛУЧАЈ
Б1 - ВОЈСКА
Б2 - ИСПИТ
Б3 - МУЗИКА
Б4 - УПОТРЕБА
 Б - РОК
В1 - СРЕДСТВО
В2 - МЕТА
В3 - ЗАЦРТАТИ
В4 - ПРОЛАЗАК
 В - ЦИЉ
Г1 - ПОЗДРАВ
Г2 - МОХИКАНАЦ
Г3 - ТАНГО
Г4 - ПАРИЗ
 Г - ПОСЛЕДЊИ
??? - КРАЈЊИ
