6967. емисија
106. циклус
21. емисија
24. 05. 2018.
www.youtube.com/watch?v=1fzR0f7G7CM

А1 - МОСКВА
А2 - ЈОРДАН
А3 - КУПА
А4 - ЛИМ
 А - РЕКА 
Б1 - РАДИО
Б2 - КРАТКИ
Б3 - ЗВУК
Б4 - МАГНЕТ
 Б - ТАЛАС
В1 - СТУБ
В2 - ЗАШТИТА
В3 - БЕДЕМ
В4 - ШУПЉА
 В - ОДБРАНА
Г1 - ПАЛЕЖ
Г2 - КОЛУБАРА
Г3 - ТЕРМОЕЛЕКТРАНА
Г4 - БЕОГРАД
 Г - ОБРЕНОВАЦ
??? - ПОПЛАВА

А1 - БУВА 
А2 - РОБОВИ
А3 - КАНТАР
А4 - ТЕЗГА
 А - ПИЈАЦА
Б1 - УЗГАЈАЊЕ
Б2 - ВЕШТАЧКО
Б3 - ЗАГРЕВАЊЕ
Б4 - ЕФЕКАТ
 Б - СТАКЛЕНИК
В1 - ТЕГЛЕ
В2 - ОСТАВА
В3 - ЗАЛИХЕ
В4 - ТУРШИЈА
 В - ЗИМНИЦА
Г1 - ИРСКА
Г2 - СЕМАФОР
Г3 - ЛИШЋЕ
Г4 - ГРОЖЖЕ
 Г - ЗЕЛЕНО
??? - ПОВРЋЕ
