7070. емисија
108. циклус
2. емисија
04. 09. 2018.
www.youtube.com/watch?v=uGdFKO0rM9g

А1 - МАЈНА
А2 - РАЈНА
А3 - ШВАРЦВАЛД
А4 - САКСОНИЈА
 А - НЕМАЧКА
Б1 - МАСТ
Б2 - БУТ
Б3 - ЈОРКШИР
Б4 - ДИВЉА
 Б - СВИЊА
В1 - ОГЊИШТЕ
В2 - ЖИВОТИЊЕ
В3 - ВАСПИТАЊЕ
В4 - КУЋНО
 В - ДОМАЋЕ
Г1 - ЖИЦА
Г2 - ЖАР
Г3 - ЋУМУР
Г4 - 1.МАЈ 
 Г - РОШТИЉ
??? - КОБАСИЦЕ

А1 - ЦИЛИНДАР
А2 - СИГУРНОСТ
А3 - ВРАТА
А4 - МЕХАНИЗАМ
 А - БРАВА
Б1 - ШАЛТЕР
Б2 - СЛУЖБЕНИК
Б3 - НОВАЦ
Б4 - ПОДИЗАЊЕ
 Б - БАНКА
В1 - БИОСКОП
В2 - КОСА
В3 - ОРТОГОНАЛНА
В4 - ВИДЕО
 В - ПРОЈЕКЦИЈА
Г1 - ПОШТА
Г2 - УЛОГА
Г3 - СТАНИЦА
Г4 - НАЈВАЖНИЈА
 Г - ГЛАВНА
??? - ЦЕНТРАЛНА
