6958. емисија
106. циклус
12. емисија
15. 05. 2018.
www.youtube.com/watch?v=WP-mrguZngI

А1 - ГРЧКИ
А2 - ОБРАЗОВНИ
А3 - L
А4 - ЛИЦЕ
 А - ПРОФИЛ
Б1 - ИМОВИНА
Б2 - РЕГИСТРАЦИЈА
Б3 - АГЕНТ
Б4 - ПРЕМИЈА
 Б - ОСИГУРАЊЕ
В1 - АДВОКАТ
В2 - ШТИЋЕНИК
В3 - МУШТЕРИЈА
В4 - БОГАТИ
 В - КЛИЈЕНТ
Г1 - РЕЦЕПТ
Г2 - УПОТРЕБА
Г3 - ПРИДРЖАВАЊЕ
Г4 - СТРИКТНО
 Г - УПУТСТВО
??? - КОРИСНИК

А1 - ПРОТАКТИНИЈУМ
А2 - ПАСКАЛ
А3 - ПАНЧЕВО
А4 - ПАНАМА
 А - ПА 
Б1 - БАБА
Б2 - МУХАМЕД
Б3 - ПАША
Б4 - ДЕЛЕ
 Б - АЛИ
В1 - ПОЧЕТАК
В2 - Ш
В3 - АУСТРИЈА
В4 - АМПЕР
 В - А 
Г1 - ПОЛ
Г2 - УГАО
Г3 - СМЕР
Г4 - ОПРЕЧНИ
 Г - СУПРОТНИ
??? - ВЕЗНИК
