7094. емисија
108. циклус
26. емисија
29. 09. 2018.
www.youtube.com/watch?v=sYt72KewhHI

А1 - БЛАГО 
А2 - РАДОСТ
А3 - БУДУЋНОСТ
А4 - ЦВЕЋЕ
 А - ДЕЦА
Б1 - СУД
Б2 - ХЕМИЈА
Б3 - ПРОИЗВОДЊА
Б4 - СТВАРАЊЕ
 Б - ПРОЦЕС
В1 - НАРОЧИТО
В2 - ПОСЕБНО
В3 - ТУЖИЛАШТВО
В4 - ПРИЗНАЊЕ
 В - СПЕЦИЈАЛНО
Г1 - ОГЊИШТЕ
Г2 - ЖИВОТИЊЕ
Г3 - ТРЖИШТЕ
Г4 - ОВДАШЊЕ
 Г - ДОМАЋЕ
??? - ВАСПИТАЊЕ

А1 - ХИП-ХОП
А2 - МУЗИЧАР
А3 - 50 CENT
А4 - JAY Z
 А - РЕПЕР
Б1 - УНОСНО 
Б2 - ПРОИЗВОДНО
Б3 - ПРОФЕСИЈА
Б4 - ПОЗИВ
 Б - ЗАНИМАЊЕ
В1 - РАДНИЦИ
В2 - ОРГАНИЗАЦИЈА
В3 - СОЛИДАРНОСТ
В4 - БЕОГРАДСКИ
 В - СИНДИКАТ
Г1 - КРАЈ
Г2 - ОКРУГ
Г3 - АРМИЈСКА
Г4 - РУРСКА
 Г - ОБЛАСТ
??? - СТРУКА
