6533. емисија
99. циклус
14. емисија
16. 03. 2017.
www.youtube.com/watch?v=13XbmiQ2XpA

А1 - ПРЕВОЗ
А2 - ПУТЕВИ
А3 - ПРУГЕ
А4 - ПРОМЕТ
 А - САОБРАЋАЈ
Б1 - ПОСАО
Б2 - ОТВОРЕН
Б3 - КОМИСИЈА
Б4 - ЛИСТА
 Б - КОНКУРС
В1 - ЈАВНА
В2 - ПОЛЕМИКА
В3 - ОСТАВИНСКА
В4 - ЖУЧНА
 В - РАСПРАВА
Г1 - СПОРТИСТА
Г2 - КВИЗ
Г3 - НАДМЕТАЊЕ
Г4 - БОРБЕНИ
 Г - ТАКМИЧАР
??? - УЧЕСНИК

А1 - ОКОВИ
А2 - РУДА
А3 - СТАРО
А4 - КАПИЈА
 А - ГВОЖЂЕ
Б1 - ВИД
Б2 - МАРАТОН
Б3 - ШАХ
Б4 - КОСОВО
 Б - ПОЉЕ
В1 - ИЗГУБИТИ
В2 - СПРАВА
В3 - ОРИЈЕНТАЦИЈА
В4 - НАВИГАЦИЈА
 В - КОМПАС
Г1 - ЊУТН
Г2 - РЕАКЦИЈА
Г3 - ВОЈНА
Г4 - ОСОВИНА
 Г - СИЛА
??? - МАГНЕТ
