6200. емисија
93. циклус
47. емисија
16. 02. 2016.
www.youtube.com/watch?v=sny_hDHMS0Y

А1 - ПИТОН
А2 - КИД
А3 - АЈДОЛ
А4 - ЏИН КИНГ
 А - БИЛИ
Б1 - ВАЈСМИЛЕР
Б2 - ДЕП
Б3 - КЕШ
Б4 - БРАВО
 Б - ЏОНИ
В1 - БРОД
В2 - ПОПРАВКА
В3 - СУВИ
В4 - ПЛИВАЈУЋИ
 В - ДОК
Г1 - РЕКА
Г2 - АУСТРИЈА
Г3 - ИНЂИЈА
Г4 - У МОДИ
 Г - ИН 
??? - ХОЛИДЕЈ

А1 - МЕРЕЊЕ
А2 - ХОРОСКОП
А3 - ТЕГОВИ
А4 - ЖИВА
 А - ВАГА
Б1 - МАЧ
Б2 - МИНИСТАРСТВО
Б3 - ПАЛАТА
Б4 - ЈУСТИЦИЈАН
 Б - ПРАВДА
В1 - ЧИСТОЋА
В2 - МАСТ
В3 - ЕСКУЛАП
В4 - БИЉКА
 В - АПОТЕКА
Г1 - ГРАДСКА
Г2 - ГУМИЦА
Г3 - СЛАВИНА
Г4 - ЧУКУР
 Г - ЧЕСМА
??? - ТЕРАЗИЈЕ
