7402. eмисија
116. циклус
30. емисија
03. 08. 2019.
www.youtube.com/watch?v=ATznPsLhZjE


А1 - КОМИСИЈА
А2 - РЕЦЕПТ
А3 - НАРОДНИ
А4 - ИЗАБРАНИ
 А - ЛЕКАР
Б1 - РОБА
Б2 - ПУТНИК
Б3 - КАРТА
Б4 - СРЕДСТВО
 Б - ПРЕВОЗ
В1 - БРОЈ
В2 - ФОТОГРАФИЈА
В3 - ВИЗА
В4 - ДИПЛОМАТА
 В - ПАСОШ
Г1 - БАЛОН
Г2 - СТРАХ
Г3 - АВИОН
Г4 - САН
 Г - ЛЕТЕЊЕ
??? - КОНТРОЛА

А1 - ЗАКЉУЧАК
А2 - АРИСТОТЕЛ
А3 - ВИДЕО-ИГРА
А4 - ОБРНУТА
 А - ЛОГИКА
Б1 - ВЕСЕЉЕ
Б2 - РАЈА
Б3 - НАЦИЈА
Б4 - СЕОБА
 Б - НАРОД 
В1 - ЈЕДНАЧИНА
В2 - СУД
В3 - ПРОБЛЕМ
В4 - СОЛОМОН
 В - РЕШЕЊЕ
Г1 - ЖЕНА
Г2 - ЛАВ
Г3 - ГИЗА
Г4 - НОС
 Г - СФИНГА
??? - ЗАГОНЕТКА
