6930. емисија
105. циклус
45. емисија
17. 04. 2018.
www.youtube.com/watch?v=di9C0Qk-ESM

А1 - ПОДАЦИ
А2 - ПРЕНОС
А3 - БИРО
А4 - БАЈТ
 А - ИНФОРМАЦИЈА
Б1 - ФАКУЛТЕТ
Б2 - ИНДЕКС
Б3 - ДОМ
Б4 - БРУЦОШИ
 Б - СТУДЕНТИ
В1 - ПРОДАЈА
В2 - НАБАВКА
В3 - РЕЗЕРВЕ
В4 - МЕТАРСКА
 В - РОБА
Г1 - ПАПИР
Г2 - МЕТАЛ
Г3 - МОНЕТА
Г4 - КОВНИЦА
 Г - НОВАЦ
??? - РАЗМЕНА

А1 - ВЛАШИЋИ
А2 - ОРИОН
А3 - АНДРОМЕДА
А4 - КАСИОПЕЈА
 А - САЗВЕЖЂЕ
Б1 - МРЕЖА
Б2 - РАШЉЕ
Б3 - ПРЕЧКА
Б4 - СТАТИВА
 Б - ГОЛ
В1 - КРУГ
В2 - ТЕТИВА
В3 - АОРТА
В4 - ДУГА
 В - ЛУК
Г1 - ОДМЕТНИК
Г2 - МАРИЈАНА
Г3 - ШЕРВУД
Г4 - НОТИНГЕМ
 Г - РОБИН ХУД
??? - СТРЕЛАЦ
