6249. емисија
94. циклус
35. емисија
05. 04. 2016.
www.youtube.com/watch?v=F_LEMfpBGiw

А1 - ЈЕВАНЂЕЉЕ
А2 - АПОСТОЛ
А3 - ТРГ
А4 - ВЕНЕЦИЈА
 А - СВЕТИ МАРКО
Б1 - ДРУШТВО
Б2 - РОД
Б3 - БРАК
Б4 - ПРВОБИТНА
 Б - ЗАЈЕДНИЦА
В1 - РЕСАВА
В2 - РАВАНИЦА
В3 - КРКА
В4 - ЈАЗАК
 В - МАНАСТИР
Г1 - ГИМНАСТИКА
Г2 - ФИГУРА
Г3 - ВОСАК
Г4 - ПЛАМЕН
 Г - СВЕЋА
??? - ЦРКВА

А1 - ШАХ 
А2 - САЛТО
А3 - БАЛЕТ
А4 - ГЕОМЕТРИЈСКА
 А - ФИГУРА 
Б1 - СПОРТ
Б2 - БАЗЕН
Б3 - КАПА
Б4 - НАОЧАРЕ
 Б - ПЛИВАЊЕ
В1 - РЕВИЈА
В2 - ПИСТА
В3 - КРЕАТОР
В4 - ВИСОКА
 В - МОДА
Г1 - СТОЛИЦА
Г2 - ОРМАН
Г3 - ФОТЕЉА
Г4 - СТО 
 Г - НАМЕШТАЈ
??? - СТИЛ
