6546. емисија
99. циклус
27. емисија
29. 03. 2017.
www.youtube.com/watch?v=ldiAkvzQN68

А1 - АУТОМОБИЛ
А2 - САТ
А3 - БУЂЕЊЕ
А4 - УЗБУНА
 А - АЛАРМ
Б1 - ПРЕНОС
Б2 - ФУДБАЛЕРИ
Б3 - ПРЕЛАЗАК
Б4 - ГРАНИЦА
 Б - ТРАНСФЕР
В1 - ПОТРОШАЧ
В2 - СТАН
В3 - КЕШ
В4 - ДУЖНИК
 В - КРЕДИТ
Г1 - ХАЛО
Г2 - ГРАФИЧКА
Г3 - БУШЕНА
Г4 - ЗВУЧНА
 Г - КАРТИЦА
??? - БАНКА

А1 - СПОЈ
А2 - МЕТАЛ
А3 - КАТОДА
А4 - АУТОГЕНО
 А - ВАРЕЊЕ
Б1 - ТАСТАТУРА
Б2 - БРОЈ
Б3 - ПОЗИВ
Б4 - ПОРУКА
 Б - МОБИЛНИ ТЕЛЕФОН
В1 - ПЛАШТ
В2 - ЈУНАК
В3 - БАНДЕРАС
В4 - МЕКСИКО
 В - ЗОРО
Г1 - ДВОРАНА
Г2 - ХАЉИНА
Г3 - ВОДА
Г4 - ПЛЕС
 Г - БАЛ
??? - МАСКА
