6398. емисија
97. циклус
1. емисија
01. 11. 2016.
www.youtube.com/watch?v=dyrSjxeAHMI

А1 - УРАНАК
А2 - АГЕНЦИЈА
А3 - ПРТЉАГ
А4 - СЛЕПИ
 А - ПУТНИК
Б1 - КУКА
Б2 - ЏОН ПИПЛФОКС
Б3 - ГРАНТ
Б4 - ЧИН
 Б - КАПЕТАН
В1 - ИНТЕРЛАГОС
В2 - ХУНГАРОРИНГ
В3 - СИЛВЕРСТОН
В4 - СТАЗА
 В - ПИСТА
Г1 - ФОТО
Г2 - ТОП
Г3 - МАНЕКЕНКА
Г4 - ОБРАЗАЦ
 Г - МОДЕЛ
??? - АВИОН

А1 - ДИСК
А2 - ИЗЛАЗАК
А3 - ЕНЕРГИЈА
А4 - РЕВОЛУЦИЈА
 А - СУНЦЕ
Б1 - ПАПКАР
Б2 - ПРЕЖИВАР
Б3 - ДРОМЕДАР
Б4 - ПОЛ БОУЛС
 Б - КАМИЛА
В1 - СТАРИ
В2 - АМОН
В3 - АЛЕКСАНДРИЈА
В4 - МЕДИТЕРАН
 В - ЕГИПАТ
Г1 - КОЖА
Г2 - ВОДА
Г3 - ИСТИНА
Г4 - МАЈА
 Г - ГОЛА
??? - ПУСТИЊА
