6805. емисија
103. циклус
42. емисија
13. 12. 2017.
www.youtube.com/watch?v=iEMkuUwWyRg

А1 - ПОСАО
А2 - НАПРЕДОВАЊЕ
А3 - МРЉА
А4 - УСПЕШНА
 А - КАРИЈЕРА
Б1 - ЗРАЧЕЊЕ
Б2 - ЕНЕРГИЈА
Б3 - НАОЧАРЕ
Б4 - ОЛУЈА
 Б - СУНЦЕ
В1 - ДОБРО
В2 - МОМЦИ
В3 - ОПРОШТАЈ
В4 - ДАН
 В - ВЕЧЕ
Г1 - РАЗВИЈЕНИ
Г2 - ДИВЉИ
Г3 - МОРАВА
Г4 - НИШТА НОВО
 Г - ЗАПАД
??? - ЗАЛАЗАК

А1 - УСПОМЕНА
А2 - МЕМОРИЈА
А3 - ФЛЕШБЕК
А4 - ДУГО
 А - СЕЋАЊЕ
Б1 - ЕПОХА
Б2 - АРХИВ
Б3 - БОЛЕСТ
Б4 - ТОЧАК
 Б - ИСТОРИЈА
В1 - ПЕРИОД
В2 - ДИМЕНЗИЈА
В3 - КАЛЕНДАР
В4 - СЛОБОДНО
 В - ВРЕМЕ
Г1 - ФЛЕКА
Г2 - ЖУТА
Г3 - МАСТИЛО
Г4 - РОРШАХ
 Г - МРЉА 
??? -ПРОШЛОСТ
