5634. емисија
84. циклус
30. емисија
01. 06. 2014.
www.youtube.com/watch?v=cNneOeXClAs

А1 - ЗДРАВСТВО
А2 - СЛУЖБА
А3 - ВОЈНИ
А4 - МАТЕРИЈАЛ
 А - САНИТЕТ
Б1 - ГУМЕ
Б2 - ПРЕДЊИ
Б3 - ЗАДЊИ
Б4 - ОСОВИНЕ
 Б - ТОЧКОВИ
В1 - СКИНУТИ
В2 - ГРБАЧА
В3 - ЛИФТ
В4 - ТЕЖАК
 В - ТЕРЕТ
Г1 - ОБУКА
Г2 - ПОЛАГАЊЕ
Г3 - ИНСТРУКТОР
Г4 - L
 Г - АУТО-ШКОЛА
??? - ВОЗИЛО

А1 - ЗАЧАРАНИ
А2 - ПОЧАСНИ
А3 - ПУН
А4 - КОНЦЕНТРИЧНИ
 А - КРУГ
Б1 - БРУСИТИ...
Б2 - ТОП-
Б3 - СПОРТИСТА
Б4 - СПРЕМНОСТ
 Б - ФОРМА
В1 - ПРАВ УГАО
В2 - МАГИЧНИ
В3 - КОРЕН
В4 - ЈЕДНАЧИНА
 В - КВАДРАТ
Г1 - ...ЗАКОНА
Г2 - ...ВЕЋИНЕ
Г3 - АПСОЛУТИСТИЧКА
Г4 - ДИКТАТОРСКА
 Г - ВЛАДАВИНА
??? - ОБЛИК
