6647. емисија
101. циклус
6. емисија
08. 07. 2017.
www.youtube.com/watch?v=caCo0Dppz2w	

А1 - ПРОЦЕС
А2 - ПОГОН
А3 - МАСОВНА
А4 - СЕРИЈСКА
 А - ПРОИЗВОДЊА
Б1 - ГЛОБАЛНО
Б2 - ВЕСЕЛО
Б3 - МАЛО
Б4 - ПЛАНИНСКО
 Б - СЕЛО
В1 - ФАБРИКА
В2 - ГРАЂЕВИНСКЕ
В3 - ПАРНЕ
В4 - ШТАМПАРСКЕ
 В - МАШИНЕ
Г1 - КОРЕН
Г2 - ЈЕЗГРО
Г3 - САКСИЈА
Г4 - СЛОЈ
 Г - ЗЕМЉА
??? - ПОЉОПРИВРЕДА

А1 - СРЦЕ
А2 - ОСОБИНА
А3 - "ПЕТЉА"
А4 - КУРАЖ
 А - ХРАБРОСТ
Б1 - ПОХВАЛА
Б2 - ЗАСЛУЖНО
Б3 - ЈАВНО
Б4 - ИЗНУДИТИ
 Б - ПРИЗНАЊЕ
В1 - ЕКИПА
В2 - БЕЛИ
В3 - ЗИМА
В4 - ИГРА
 В - СПОРТ
Г1 - ЛЕГУРА
Г2 - БАКАР
Г3 - КАЛАЈ
Г4 - ДОБА
 Г - БРОНЗА
??? - МЕДАЉА
